	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	B101	B102	B103	B104	B105	B106	B107	B108	B109	B110	B111	B112	B113	B114	B115	B116	B117	B118	B119	B120	B121	B122	B123	B124	B125	B126	B127	B128	B129	B130	B131	B132	B133	B134	B135	B136	B137	B138	B139	B140	B141	B142	B143	B144	B145	B146	B147	B148	B149	B150	B151	B152	B153	B154	B155	B156	B157	B158	B159	B160	B161	B162	B163	B164	B165	B166	B167	B168	B169	B170	B171	B172	B173	B174	B175	B176
ESPL1	1.395768501	1.509189943	1.540255732	0.896332345	0.70396058	0.971793635	0.922188805	0.86159187	0.886779188	0.449964036	1.170792105	0.396289996	1.108260401	1.405772894	0.954142456	1.067684304	0.939741903	0.785517525	0.958192569	1.07354915	1.215058734	0.988127634	0.823730671	0.844690866	0.815042966	0.339381704	1.080144296	0.47017201	1.126392436	0.428165306	0	0	0.899084534	2.316682736	0.569243332	0.323241716	0	0.486766057	0	1.461587157	0.907390866	1.313338506	0.9883597	1.407225416	0.622894196	0.536490166	0.218275909	0.439389535	0.781544473	0.382859483	0.331257987	0.923409797	1.768389693	0.757135316	0.652945042	1.115544256	1.031557162	0.911069028	0.81046066	0.82132407	0	1.432659386	1.295376455	1.0452132	0.956730937	0.972646985	1.227538828	0.928967276	0.811207132	0.92712645	0.96557413	0.908232224	0.722331925	0.849237739	0.712965224	0.811073543	1.224008151	0.928032847	0.918467577	0.710946098	0.892669205	1.239867654	0.975379203	1.193408322	1.055050272	0.800200171	0.946580127	1.363694722	1.041914491	1.036388817	0.767787944	1.621163418	1.117300844	0.972327219	1.117948622	1.047134719	1.369290359	1.085872809	1.459527701	0.996745002	0.655433765	0.933747798	0.691165821	0.23506101	0.389435223	1.211186091	0.773264127	0.672069031	0.606988554	0.80989301	0.733246856	0.859284609	0.686713601	0.626388105	0.745983893	0.670015401	1.131305653	1.308017091	0.18233808	0.290713819	0.664366288	0.921007874	0.551672612	0.324639612	1.489804956	0.837135835	0.994327965	1.534711578	1.065142927	0.864136689	1.262147709	1.262971866	0.634329775	0.612143445	0.949554905	1.210095547	1.388994318	1.096224447	1.132343918	1.751330029	0.794249756	0.205222193	0.215095049	0.151522269	1.779082373	1.41555728	0.76823683	0.716686926	0.803684322	0.622246758	1.080146566	0.833972063	1.252395556	1.023893562	1.045859381	0.801629472	1.123171291	0.607628578	0.881752191	0.913454925	0.97903376	0.549775566	0.934971318	0.803928562	1.407518165	1.043429898	0.90469925	1.072473155	0.764664268	0.373139861	0.839502374	0.29381297	1.165544802	1.013836113	0.463580628	0.497949969
ESRP1	1.391611524	2.045564653	0.344314031	0.627473443	0.498009151	0.640384075	0.726083087	0.793549813	0.962949086	0	0	0	0.814415364	0	0.726743678	0.468730961	1.349778828	0	0.328796496	1.641606803	0	0.656240698	0.850218602	1.30894139	2.528530035	0	0.808852291	0	2.599935737	0	0	0	0	0	0	0	0	0	0	0	1.643848593	0	0	0	0.966729405	1.395483153	1.12061679	0	0	0	0	0	5.108423195	0	0	1.106020801	1.668100328	2.777529041	0	5.265272518	0	0.926044245	0.586898497	0	1.231661757	0	0.981902044	0.917963034	0.157885765	0.484483979	1.121768718	0.677216676	1.08059728	1.011260421	1.617729848	1.314865854	0.70631934	1.059638098	0.288415777	0.274262233	3.137099054	1.765693501	1.196806082	1.703842637	3.135065282	1.585816937	1.483640691	1.556284414	0.31124628	0.669469917	1.52244213	0.971375758	0	0	0	0	0	0.949134495	2.885918618	1.237916541	0.661334438	0	0	0	6.871612484	0.826417986	0.676401149	1.167974761	0.433892133	2.789412044	30.67131933	1.52737349	0	1.510135742	0	1.400458696	0	3.094426052	0	0	0	1.144936644	2.066904655	0	0	0	0	2.061244556	1.682862787	0	0.631687977	1.110624078	0	0	0.864730358	0	0	0	1.30374135	0	0	0	0	3.949784814	0	0	0.666858345	0.500819648	0.624563721	0.595446687	0	0.801803653	0	0	0.872460541	0	0	0	0	0	0	0	3.185742703	2.733826091	0	0	0	0.861312509	0	0	2.186763811	0	0	0.936935113	0	1.900838044
ETV4	1.031757249	0.820384543	0.000385614	0.787002192	0.732423207	0.979934152	0.448961621	0.839292122	0.849148274	0	3.394244508	0	1.727951822	0	0.386179607	1.597786161	1.154980336	0.657444539	0.172572642	0.614744496	0.952519265	0.78033415	0.988242975	0.583933274	1.129611491	0	1.69055132	0	1.418432963	0	0	0	0	3.189633629	0	0	0	0	0	0	1.786450752	3.169296149	0	1.813359556	0	4.674354656	0	1.540221299	1.800629036	0	2.2967969	4.329244256	0	0	0	0.014967801	0.764849956	0	0	2.836647117	0	0.758199345	0.639766646	0.177806419	0	1.140799311	1.073723415	2.688263653	1.961866307	0.896204032	2.447207039	1.046861008	4.154611664	2.791644044	2.804611622	3.178853682	0.376906971	0.517526708	0.555010497	0.610747876	0.575097933	0	0.891874323	1.413104129	0	0.902541933	0.625617666	0.982393823	0.494213313	1.273169502	0	1.363342909	1.162546677	0	0	1.589466905	0	0.603698945	1.089100221	0.587921424	0.400272759	0.108654359	1.454238888	0.701653593	0	0.307323256	1.566664375	0	0.514443994	1.181336223	1.453748092	0.826549834	3.11571379	0	0.4301892	0.19268329	1.359280286	0	7.719635948	2.735515696	0	0.64031559	1.091140233	4.062186137	2.244817458	0	1.286972697	1.166978733	5.706264149	2.093033319	1.012200985	0.843034318	1.108584257	1.376361454	2.463967303	2.16951715	2.755852022	1.282352962	0.720612308	0	0.575831238	0	0	0	5.809167481	2.869421273	0.876474708	1.017959762	0.338105018	1.931903435	1.412813412	2.63509774	0.864557308	0	2.092360786	1.205373359	0	0	0	0	0	0	0	0	0	1.955911769	0	1.079363176	0	0	1.115425726	0	0	1.009678501	1.309920788	2.508608222
EXD2	2.777140985	1.64964424	1.929227501	1.198639338	0.858064249	0.753297833	0.661416133	0.825885519	1.013858171	0.932697391	0	0.630726216	1.066350939	2.18325075	1.078332344	0.823571405	1.068771573	0.401123618	0.928662288	0.629969394	0.875323751	1.994552449	0.449381836	0.505095936	1.297839287	1.489057417	0.571438723	0.551462143	0	2.014213174	1.180954803	0	1.05535582	0	0	0.252766943	0	0	1.476607613	1.448474717	0.596521434	0.219366341	0	1.405675201	0.222915107	0.606443501	0.204939826	1.551027295	0	0.597121692	0	1.445974751	0	0	0	0.393980143	0.926608274	0.130225337	0.928677208	0	0	0.801900849	1.255870589	1.351293835	0.22353598	0.56543221	0.798582839	0.930362558	1.142050083	1.341105187	1.871288741	0.92656154	1.573125548	1.416326574	0.32591932	1.249357591	1.019150085	1.093586109	0.881770785	0.523059574	0.259441198	0.989185667	1.625091948	1.348921168	0	0.659645995	0.589330264	0.78144142	0.17760927	0.769125234	1.940608362	0.963006529	1.190658309	0.170157074	0.84736968	1.759694302	0.619030438	0.946718174	0.848667608	0.779899317	0.213065062	0.480734395	0.333553249	0.593058107	0.795338201	0.287848186	0.906515204	0.661076454	0.890751534	0.50870496	1.404583642	0	0	0.826413688	0.623631217	0.436247429	0.770262351	2.204504246	0	0	0.70196457	1.002768959	0.178908272	0	0	0	1.91646811	1.168456646	1.192598008	1.454230794	1.099755669	1.277011985	0.963964801	1.273360214	3.680878499	3.522576957	0.879052	0.243882427	0.921673584	0	0.632494001	0.350066416	0	0	3.957471539	0	0.917877932	1.079317232	0.70913328	0.746979153	1.085673821	0.854403343	0.566430715	2.779595064	0.655730996	0.323560706	0.300888021	0.927199834	0.95193809	0.802503125	0.61994188	0.641667001	0.573483889	0.492942437	0.616842751	1.306899915	0	0.777431597	0.964153085	0.802844618	0.841632435	0.804477688	2.818815564	1.305213781	0.369640573	0.547798354
EXO1	0.710347605	0.802624341	1.16422816	1.009060633	1.210101954	0.894652658	1.418855914	1.019824757	1.351193857	1.542893407	0	0	0.807833205	0.907727407	1.053949884	1.222726785	0.722095716	0.74909829	0.508694167	1.066655482	1.185160798	0.759735144	0.902551747	1.42738231	0.796853215	0.328471794	1.162638962	1.162817143	0	2.319120133	0	3.307069392	1.459445529	1.161513176	2.1820193	0.350181107	1.292405335	1.059752055	2.062961827	0.737885135	1.239158135	1.266666107	0.262504563	0.523019759	0.694634301	1.160039224	0.192218861	1.453528933	0.284168376	0.279281921	0.363298687	0	0.858914676	2.174406919	0.492181542	1.148044517	1.417051714	1.0865172	0	5.221224588	0.412971697	1.054784664	0.783952338	0.995371793	0.154383102	2.123688772	1.100738612	0.948386341	1.148134382	0.836203303	0.642256354	1.003212869	0.578492622	1.184839333	0.683053418	0.693751713	0.991845184	1.544581722	1.244383009	0.768271482	1.104082896	0.965016602	1.012682543	0.914910989	1.111968955	1.148498271	0.674277441	1.371924044	1.245533244	1.263185031	1.042167269	1.243583106	0.691167626	1.055856568	1.504580512	0.032175308	0.560047176	1.309565985	0.838775026	0.725453767	1.187837452	0.758317162	0.641324265	0.597444987	0.607460467	1.175347519	1.174889176	0.916472904	1.516815309	1.275184955	1.123321796	0.82108572	0.674286886	1.775113805	0.800781554	1.058547998	0.860864101	1.319253351	0	0	1.194551656	1.484452029	0.323202318	0.427897217	1.430442544	1.540695352	1.754783207	1.002707933	0.861159663	0.628658557	2.116672269	1.65088889	1.164309475	0.887906791	1.149260652	3.097063646	2.117934801	2.178725832	1.660526963	4.845297712	0.739339943	0	0	0	0	0.67421366	0.860889024	1.086660337	0.452314391	0.607476838	0.850427686	0.551808847	1.141255123	0.341976016	0.678159309	0.786196186	0.664975872	0.144976114	0.606610254	0.552366066	1.030408796	0.645890617	1.12082745	0.477115924	0.550542799	0.598761899	1.235611033	0.734700915	1.324822246	0.104594541	0.784460811	1.578638084	0.994442642	0.380588392	0.600500496	0.223900775
EXOSC9	0.680142164	0.409940249	0	0.469290341	0.483534866	1.054102964	1.108477934	1.33574207	1.180400877	2.902278614	0.062761249	0	1.108872905	0.874051166	0.756937821	1.439539584	0.823768496	0.21193846	0	1.147332853	0.666654902	0.369419899	0.315313606	0.563723085	0.722196262	0	1.50226391	1.584709383	0	0	0	0	0	0	1.263933231	0	0	0	0	0	0	1.267898315	3.558949249	0	0.964944211	0.345581892	0.587504682	2.956868153	0	3.431124085	0	4.140567703	0	0	0	1.767591763	0.881987701	0.776846898	0	0	0	1.344977528	1.381677542	0.437791858	0.75665398	2.087177036	2.416001501	0.332787544	0.538077273	1.370515322	1.077741037	0.445843133	1.402958507	1.424315757	0.267266773	0.843288857	1.229641025	1.749823681	1.835170864	0.640622041	0.258436808	0.814657342	1.034028323	0.852507703	0	1.470881747	0.283176769	0.840344022	1.104534562	0.082212605	3.306007521	0.313525248	1.531113882	0	0.496125238	2.934889245	0.505080207	3.042714466	0.981771575	1.266921811	0	2.5208615	1.494927558	0	0	0	0.339274757	3.32221675	0.248649795	0.56539203	0.64776454	0	0	2.978851791	1.738820883	2.49652923	0.718700803	1.639581353	2.520055471	0	0	0.636295931	0.551279198	0	0	4.314206372	0.321245876	0.282477979	0	0	0.336281138	1.036139701	3.806423132	0.286049021	0	0	0	1.939225208	0.700775137	0	0	0	0	0	0	0.911864001	0.829628531	0.65963573	0.993682538	0.632479832	0.462138263	0.423161884	0	0	0.253656746	1.144430329	4.045246086	0	0	1.120266067	0	1.268320103	1.646700304	0	0	0	0	0.668564978	1.313756229	0	0.63517218	0	0	0	0	2.147694477
EXTL1	0.526987628	1.081677128	1.699567758	0.869645499	0.94782391	1.144977671	0.975511093	0.747254982	1.087215185	1.625946968	0	0	1.083351411	0	1.553814087	0.960881272	0.897178683	0.861214269	0.878477122	0.614456489	1.088301651	0.931650033	0.622772324	0.70311874	0.790845993	0	1.126483855	1.102054499	0.267729354	1.138827168	1.334919519	0	0	1.069612294	1.755839722	0.718000567	0	0	0	0.436702266	0.50666993	0.624681552	1.728155171	1.262794569	0.372113035	0.693063771	0.929390229	0.580314812	0.340979309	0.335452607	1.312814266	0	0.819709692	1.637521445	0.91827563	0.603459489	1.010435388	1.704832787	1.532329159	0	0	1.446278083	1.629161337	0.795328228	1.838960275	0.912627147	1.679236908	0.746968496	0.726652995	0.958205064	0.455566614	0.846865261	0.84986701	0.995484707	0.926443208	0.833864783	1.181544319	1.015115527	1.252884964	0.935161004	0.641007371	1.244451587	0.744602118	0.99499027	0	1.024907433	0.796223314	0.756898404	1.109788016	1.246037652	1.493803904	1.551907994	0.896992166	1.253644005	1.140205076	1.112673425	1.094295069	1.264562318	0.874718499	0.844007185	0.901679317	0.71653469	0.590167616	0.272415249	0.167584453	0.769646833	1.070283872	0.917572042	1.414652322	0.712876086	1.353312325	1.206830689	3.404170891	1.742630928	0.477562047	0.497535899	1.388687151	0.685101567	0.490906114	0.506223221	0.647035597	0.901843976	0.327005782	1.206525292	2.749677798	1.163039556	1.030283635	1.210344149	0.456214337	1.08460205	1.631868441	1.138530637	0.890955283	0.510865038	1.125934156	0.927325598	0.214569228	1.461893406	1.243114815	0.05006286	0.612139077	0.388739301	0	0.400305569	0	1.180260546	1.025238539	0.906074524	0.75395294	0.484505349	0.445285715	1.411035686	0.975584876	0.505723106	1.171561474	0.768450853	0.958620585	0.523686167	2.040081673	1.146531447	0.689016828	0.601002722	1.397013937	1.067782736	0	1.424883342	0.561612911	1.10494948	0.194906552	0.430447308	0.871818648	1.702730946	1.90017699	0.70304643	1.551555696	0.535555838
EXTL3	1.001819257	0.56773772	0.188155269	1.752188249	0.929914228	0.697888466	0.280658408	0.479719007	0.885078046	0	0	1.18053402	0.248936059	0	0.609695225	1.387248229	1.499056644	0	1.211563959	0.364434278	0.532511404	1.389507845	1.126383896	1.340448218	1.29143562	0	0.629494638	1.850761659	0	0	3.954763799	0	0	1.192647758	0	1.827037695	0	0	0	2.420815017	1.006120481	2.227354472	0	0.672033874	0.75166338	0	2.079214206	0	0	2.010320687	2.60996702	4.866152927	0	0	1.230459133	0	1.655620689	0	2.101052371	0	0	0.84632693	1.002277293	0.217615925	0.822907168	0.605845641	0.605510777	0.930882358	0.640081361	0.505635537	0.533610653	2.781221945	1.174251712	0.689395803	1.312528461	0.688002183	1.341512464	0.641605047	1.078871304	1.066071889	1.093063886	0	1.177705056	0.479541202	1.933363775	0	0.771070194	0.622655163	0.378856582	0.713177739	0.528399807	0	0	0	0	1.917115486	0.518900303	2.960289715	4.339619791	0.439071506	2.76833303	5.552361552	0.234538353	0	2.033844298	1.032229412	0.69676828	0.603387167	0.263601445	0.707199121	0.779770673	0	0	0.877496108	0.160196537	0.217760599	0	0	0	0	0	0.242677341	0.619582567	0	0.822711439	0	0.179816463	0.326480672	1.03636204	2.073458735	0	0.169016574	0	0.999879098	0.535132177	3.219817436	0	0.736998752	0.266190762	0	1.369048408	1.178207926	0	2.41090217	0	1.073960997	0.436404432	1.325399891	1.909642594	0.729395108	1.069518383	0.489757593	0.970456264	0	1.601558295	3.573563436	0.959171651	4.206606047	9.946103826	2.345203089	2.049847469	0	0	1.682414535	0	1.115270613	0	2.319685676	2.547717187	2.70639917	0.947591723	0	0	0	0	1.203841116
EYA4	1.384464283	0.814199505	9.84E-05	1.579496266	0.477137932	0.559573424	0.352707711	0.437562017	0.722350726	0.000395242	0.001177747	4.644949198	0.52389438	0.001199551	0.157602977	2.130950426	0.301749432	14.15864205	0.220588212	0.366916911	0.00022788	0.267280469	0.818296102	6.497521034	0.000267661	0.003259775	0.000196969	16.70124227	28.66614692	0.002127795	65.77754826	0.007569197	0.002231603	1.321158068	1.616577385	14.11036351	0.005646489	0.00483803	0.003120618	2.656060614	0.000632986	0.811748723	0.001306383	0.734305353	0.000235946	0.80991436	11.49397987	3.462115358	0.001281183	0.001264764	0.001640857	0.003059296	0.000983825	0.001917796	20.4253385	0.000417712	0.959577465	0.000725934	2.951669686	0.002016699	0.002786665	0.561068842	0.258288818	0.68977847	0.000474268	1.408611007	0.360180321	0.43412246	0.448746457	0.448864044	0.000432465	0.000261703	0.222361491	0.547614159	0.000206256	0.461410094	1.525460354	0.129285624	0.872686923	0.204572876	7.784752697	0.760540097	0.969111054	1.37267089	0.001222425	1.067016607	0.290825549	0.483117689	3.952658159	0.164956205	0.316134207	0.000191682	0.631642695	0.001084263	0.551007042	0.000565698	0.659742441	0.423899379	0.043549265	0.500905956	0.000293472	0.849565428	4.018213652	0.000460651	18.36053934	0.000316721	0.150512459	0.398983683	0.34559434	0.000212501	0.861817302	14.44980148	0.000967834	0.000276326	0.181943766	0.22936523	0.408335541	2.070202398	3.145838568	15.19494529	2.302970825	1.090329457	0.000390078	0.00096631	0.0004242	0.003101608	0.391811834	0.186980024	1.119880794	0.000323309	0.000242521	0.182238699	0.460479582	0.36003042	0.000332188	0.002021394	0.00053151	0.000460402	0.873225067	0.002121643	1.527118602	0.000742307	0.00216135	0.00150928	0.004184137	0.00067185	0.294534784	0.110801301	0.779699646	7.666710386	0.000335127	0.000307469	0.000607528	2.694625597	5.573231233	3.132658363	15.85604347	0.000653051	2.327804098	0.000420533	0.737695812	25.19244803	0.001234032	0.001057715	0.002421969	0.000701656	0.000559562	0.578891726	0.00045227	0.000833005	0.000208961	0.002145867	0.001289659	2.53543484	0.000433966	0.474925045
EZH1	0.928034262	0.358959719	0.161831864	0.421058706	0.801749206	0.581489335	0.546352864	1.72519255	0.329078375	0	0	2.333985761	0	0	0.935257097	0.945841698	0.729672934	0.485834505	0.394725875	0.66519465	1.425982668	1.471648183	0	0	0	0	0.616279682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.455218635	0	1.317243887	0.93230543	1.595706735	2.723878922	0	0	0	0	0	0	6.0216509	0	1.304298677	0.427182787	0	0	0	0	0.94836827	1.600182551	0.649517557	0	2.54865632	0.195103799	1.7377591	2.475026055	1.728912413	9.01337233	6.635816564	2.191705937	3.454833978	0.825756947	3.961228398	0.734971486	1.14752016	0.540735578	1.042965929	0.441076043	0.772599372	2.592371621	0.737437047	0	0	1.16060361	1.596191285	2.265717634	1.604479139	0.477835681	0.645519717	0	0	0	1.774433377	1.156246022	0.620058699	0.699649908	0.710409135	0	0	0.474801248	0	0	0	0.268880481	0.474544207	0.505876512	0.666219407	0	0	0	0.878558976	0.662680707	0.417229807	0	0	0	0	0	0.416437426	1.215544086	0	0	0	0.353491215	5.674041674	0	1.013616459	1.535631745	0.330520388	0	0	0	0	0	1.450705482	0.396659159	3.228493643	0	0	0	0	0	2.093586353	0.526270446	1.989865498	0	0	0	0.963469643	0	0	0	0	0	0	0	0	1.325805119	0	0	0	0	0	0	0.76963608	0	0	0.65313922	0	0	0	0	3.405321821
F3	0.963015051	0.639152806	1.052578454	0.812287569	1.152715985	0.972213239	1.343166846	1.489243151	0.652620839	0.180815063	1.082230157	0.268253393	0.770031889	0.465355544	0.752036831	1.02522161	0.8658199	0.60634173	0.196225347	1.031923759	0.851885922	1.637098067	0.552679224	0.550806491	0.972753893	0.796668101	1.757490837	0.218431537	0	0	0	0	0	0.564764437	0	0.400357434	0	0	2.341479951	0.553722459	0.473058222	0.173905034	0.503600674	0.478578547	0.664427238	0.732580293	0.488555601	0.822371295	0	0.469643732	1.857075106	0	0.894816173	0.748689984	1.364092943	3.601797329	0.756028018	0.59555281	1.973065979	1.091826625	0	0.564286455	1.018314499	0.66799503	0.170402496	1.561392113	1.063233889	1.197930174	0.597838795	0.323739086	0.619689594	1.998123791	0.408483636	0.567914653	1.101348855	1.016659962	0.748973	0.807423697	1.551605096	3.483149786	1.517507108	1.476920696	1.274680771	1.528132251	2.973990045	3.161953579	0.925674154	0.966592681	2.744342819	1.855801377	1.649049586	0.75982117	0.69992503	2.711526938	2.056326978	0.718914954	0.836969414	0.901517115	0.686061253	0.60666602	0.765198144	1.593741143	1.170333469	4.174197164	0.894570229	0.361153397	0.819997378	0.919505292	0.57435505	0.701933423	0.72909285	0.193308826	0.412566213	0.395101203	0.546056296	0.531824686	0.96082541	0.481189409	0	2.837236727	0.87437321	1.411133746	0.40513262	1.075119464	1.353561711	1.716181361	1.151438553	0.88936067	2.734661502	3.23832359	1.435353608	1.124847547	0.599250317	0.842813805	0.99943731	0.400809316	2.233842946	1.614541963	1.052814175	4.437772863	4.988381572	0.514285849	19.16645123	2.668960078	4.737714378	0.108605276	1.256232092	1.224096153	0.398176225	0.860578217	0.732343551	1.053709973	0.642490049	0.444686651	0.872693413	0.179535031	0	0.232552086	0.875037892	2.685332081	0.760957216	0	0	0	0	1.091720439	0.649385132	0.81578638	1.223074142	0.67381382	1.174583373	1.790852189	0.833487443	0.745542967	0.864180567	0.135929871
FAF2	0.316671301	1.013367218	0.370512845	0.734059856	1.192997011	0	0.310278952	0.63727177	0.893846426	4.854172485	11.62022291	0	0.967175727	0	8.129562043	0	1.091171068	0	0.779858615	0	1.411755123	1.937520999	0	1.397792374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.786153339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480999162	0	0.967706104	0	2.546345427	0.388097798	0.80653981	0.746790389	0.581695181	0	0	0	1.041491813	0	0.877509492	0.44859034	4.023580736	0.680680453	2.092397043	5.442901516	2.742602461	0.599869025	2.809695005	7.293171052	0	1.743776448	1.250741911	0.730577309	2.146584505	1.333368396	1.033633114	0	0	0	7.066924791	0	0	1.105008971	0.975999695	0	0	0.935352494	0	3.975091799	0	1.080579097	0.944027214	0	0	0	3.423101108	0	1.728183435	0.665096772	1.663588564	1.508926666	0	0	0	0	0.935815658	0	0	0	0	0	0	0	0	0	0.657706043	0	0	0	0	0	0	0	0	0	0	13.36055032	0	0	0	1.049334694	0	1.491363566	0	0	1.903430045	0	0	2.073451608	0	0	0	0	0	0	0	0	0	0	0	3.481816329	1.032514842	0	0	0	0	0	0	0	1.907785821
FAM126A	11.19298812	2.011885625	0.00131821	0.583131903	1.460811042	0.960085075	0.312011685	0.908026314	1.033581978	2.159276205	1.650094713	0	1.274073382	0	0.709694766	0.673553575	0.085393566	1.078897884	0.173277249	0	0.636792528	0.617846186	0.359497706	0.578585368	1.197798064	0	0.722942833	0.810744635	0	2.959339102	0	0	0	0	0	0.744052578	0	0	0	0	2.654060616	1.963151133	0	0	0.653282743	0	1.304866166	1.518208577	0	0	0	0	0	0	2.147172733	1.379934678	0.380567922	1.389461792	0	0	0	1.053319681	1.046517285	1.487489224	0.670256035	0.571020743	1.354551514	0.420248012	0.415381616	0.262744042	1.620288615	0	0.568686865	0.230621662	0.64289268	0.266003927	0.427035438	0.87833298	1.701038821	0.596848662	0.187166938	0.922137689	0.885070232	0.742303067	1.491648155	0.987059482	2.092289534	1.206794247	0.821280045	2.264905953	0	1.109507039	0	0	0.893455292	1.580437452	0.508022796	0.427215704	0.588027723	0.748750141	0	1.114736406	0.859345121	0	0	0.435418013	0.742368603	1.127969409	0.692447421	0.292548882	0.679894627	0.751211395	1.345443965	0.382543013	0.887861529	0.554294641	0.644520899	0	0	2.721261277	1.833767102	0.632246652	1.088794515	0	0.590522385	0	0.31718783	0	0	0.901596424	0.676617683	0.592668398	1.1171456	0.580503665	0	0	0.739224482	1.287740481	0.939067716	0	0.598620357	0	3.006007801	0	0	0	0.2340727	0.52915776	1.343303599	0.953051037	1.882644374	1.282686098	0	0	1.419359728	1.181937897	1.651756919	0.907007111	0	0.549014036	0.585706594	0	0	0	0	0	0.810172959	1.342348212	0.636847095	1.325195619	1.178171913	0	0	0.503748537	1.883030416	3.087150073
FAM131B	1.12981873	0.148018873	0.315834488	0.634775165	1.757235433	2.191929388	1.147060412	0.596355069	1.268569749	5.857293233	0.399618357	11.76668107	5.133931874	0	1.367951117	0.53100675	0.854294024	0	1.11705228	0	0	0.75644549	1.355452164	1.308345042	1.573872175	9.369915257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.686807332	0	1.212483905	2.048577141	5.266492717	0	6.312012991	0	0	0	0	0	0	0	0	1.199305874	0	1.636378986	0	0	1.171816552	0	0.45176569	1.338244927	0	1.0075353	0.853207107	0.709482809	0.270871699	0	0	0.599944118	0.241652614	0	1.903000254	0.402711049	1.345793311	0.470226116	0.635959246	1.197705045	0	0.522381508	0.435608297	0	0.862695612	0.265654639	0	0.68805183	0.737731469	0	1.134019867	1.12552736	0	0	1.649056961	0	1.158406029	1.212975363	0.76446582	2.783278704	1.831414486	0.888610244	0	0	1.855905161	0	0.443365051	0.484405622	0	5.550675592	0	0	2.451544634	0.622347026	0.392770949	0.682097491	0	0	2.822840607	0	0.439921219	2.305599638	2.829383563	6.5994109	0	1.681151867	1.219910975	5.928803822	3.768993174	2.626300019	0.798607812	0.773343801	0	2.338428328	0	2.24522506	0.598054751	0.288265136	0	2.516085419	0	0	8.827270482	12.18938142	0	0	0.574411325	1.40519648	3.4026178	0.982810353	0.907952595	1.78503822	0	0.959101315	2.485136474	35.09483722	0	0	0	1.227047962	2.754848661	0	0	0	2.025926509	0	0.740087296	0	2.276562566	0	0	0	0	0.853797179	1.861849105
FAM134C	0.550407209	1.551367249	0.324156709	1.318171678	0.892734537	1.05576224	0.782047222	1.593692352	1.236496845	1.805307199	0	0	0.3733985	0	0.88938615	0.87276112	0.871002331	0.488633377	1.03111409	0.594972818	0.840524325	0.883102549	0.439826812	0.782613897	1.012480846	0	0.747396589	0.534876688	0	0	0	0	2.095279733	0	0	0	0	4.519266646	2.959940108	1.432411127	1.785716496	0.867760226	0	0.397980954	0.66140731	0.478869193	0.405293325	0	1.192857158	0	0	0	1.844017145	1.792274841	0	0.374517237	1.102165929	0	0.766811572	0	0	1.414424474	0.622887965	0.720142091	0.964462966	0.314265988	0.912772484	2.590719099	1.971299073	1.682060204	2.09797126	1.998268275	3.36975082	4.407632203	0.087109501	1.595281295	0.90167669	0.933401364	1.196086652	0.981026508	0.512345384	0	0.830411599	0.759666628	0.538141002	0.555878384	0.777785552	0.383505513	1.145477091	0.317680775	0.834337613	0.598207914	0.943337408	0	0.58337516	0	1.060874048	1.112323943	1.091409412	0.901465032	0.35557012	0.344865409	1.337791322	0.878889305	0.610343784	0.298478238	0.443551729	0.490928378	0.470723346	1.014380113	0	1.55227017	0	0.784848677	0.737407395	0.908969258	0.589119471	1.183615977	0	0	1.194514423	1.034851086	0.368291609	0	0.44437131	0	0.205731366	0.900570541	0.943214569	0.61191293	2.15368082	0.808231757	1.033430691	0.183575035	1.294249561	0	1.035417647	0.901113023	1.078550172	0	0.365397979	0	2.030261089	0	0	1.337242012	0.624434542	0.979466737	0.450056702	0.646783756	0.631063928	0.577238095	0	0	0.881309678	1.210260492	0	1.942899069	0	0.445667022	1.209124071	0	1.155417568	1.98712652	0	0.657569039	2.684270942	0.30533582	1.294643467	2.280937956	0.935671133	0	0	0.346841254	0	1.896441322
